inst_type,n,density,instance_id,beam_width,optimal,fn_dp_obj,fn_final_obj,fn_time_dp,fn_time_ls,fn_time_total,fn_ls_iters,fl_dp_obj,fl_final_obj,fl_time_dp,fl_time_ls,fl_time_total,fl_ls_iters,fl_unique_optima
Hidden_Clique,60,0.0,3,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.606060606060606,21.0
Hidden_Clique,60,0.0,4,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.40625,0.015625,0.421875,2.333333333333333,20.0
Hidden_Clique,60,0.0,5,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.28125,0.03125,0.3125,2.060606060606061,26.0
Hidden_Clique,60,0.0,6,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.515151515151515,33.0
Hidden_Clique,60,0.0,7,33,42.0,42.0,42.0,0.3125,0.015625,0.328125,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.4545454545454546,23.0
Hidden_Clique,60,0.0,8,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.296875,0.015625,0.3125,2.1515151515151514,33.0
Hidden_Clique,60,0.0,9,33,42.0,42.0,42.0,0.3125,0.015625,0.328125,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.333333333333333,33.0
Hidden_Clique,60,0.0,10,33,42.0,42.0,42.0,0.3125,0.015625,0.328125,7.0,42.0,42.0,0.296875,0.015625,0.3125,2.272727272727273,28.0
Hidden_Clique,60,0.0,11,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.28125,0.03125,0.3125,2.484848484848485,31.0
Hidden_Clique,60,0.0,12,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.34375,0.015625,0.359375,2.5454545454545454,25.0
Hidden_Clique,60,0.0,13,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.328125,0.015625,0.34375,2.303030303030303,28.0
Hidden_Clique,60,0.0,14,33,42.0,42.0,42.0,0.34375,0.015625,0.359375,7.0,42.0,42.0,0.390625,0.015625,0.40625,2.4545454545454546,33.0
Hidden_Clique,60,0.0,15,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.4545454545454546,30.0
Hidden_Clique,60,0.0,16,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.696969696969697,26.0
Hidden_Clique,60,0.0,17,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.333333333333333,29.0
Hidden_Clique,60,0.0,18,33,42.0,42.0,42.0,0.265625,0.015625,0.28125,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.1515151515151514,32.0
Hidden_Clique,60,0.0,19,33,42.0,42.0,42.0,0.328125,0.03125,0.359375,7.0,42.0,42.0,0.3125,0.015625,0.328125,2.1818181818181817,33.0
Hidden_Clique,60,0.0,20,33,42.0,42.0,42.0,0.359375,0.015625,0.375,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.333333333333333,27.0
Hidden_Clique,60,0.0,21,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.328125,0.015625,0.34375,2.060606060606061,33.0
Hidden_Clique,60,0.0,22,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.727272727272727,26.0
Hidden_Clique,60,0.0,23,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.212121212121212,32.0
Hidden_Clique,60,0.0,24,33,42.0,42.0,42.0,0.296875,0.0,0.296875,7.0,42.0,42.0,0.25,0.03125,0.28125,2.8181818181818183,22.0
Hidden_Clique,60,0.0,25,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.265625,0.015625,0.28125,2.4242424242424243,24.0
Hidden_Clique,60,0.0,26,33,42.0,42.0,42.0,0.28125,0.015625,0.296875,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.4242424242424243,33.0
