variant,inst_type,n,density,beam_width,avg_obj,avg_time,avg_gap,std_gap,max_gap,success_rate
V3c_Standard_Beam_Static,DKS,300,0.9,5,22820.866666666665,3.275,,,,
V4_Full_Proposed,DKS,300,0.9,5,22833.066666666666,13.738020833333334,,,,
Fennich_Baseline,Gallo,10,0.25,0,831.9333333333333,0.0234375,0.0,0.0,0.0,100.0
V1_Static_Greedy,Gallo,10,0.25,1,831.9333333333333,0.0020833333333333,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,10,0.25,1,831.9333333333333,0.0020833333333333,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,10,0.25,5,831.9333333333333,0.0046875,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,10,0.25,5,831.9333333333333,0.0046875,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,10,0.25,5,831.9333333333333,0.0020833333333333,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,10,0.25,5,831.9333333333333,0.00625,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,10,0.5,0,1428.7,0.021875,0.0,0.0,0.0,100.0
V1_Static_Greedy,Gallo,10,0.5,1,1428.7,0.0015625,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,10,0.5,1,1428.7,0.0026041666666666,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,10,0.5,5,1428.7,0.0041666666666666,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,10,0.5,5,1428.7,0.0041666666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,10,0.5,5,1428.7,0.003125,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,10,0.5,5,1428.7,0.0072916666666666,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,10,0.75,0,2212.6666666666665,0.0359375,0.0,0.0,0.0,100.0
V1_Static_Greedy,Gallo,10,0.75,1,2212.6666666666665,0.0,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,10,0.75,1,2212.6666666666665,0.0026041666666666,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,10,0.75,5,2212.6666666666665,0.0052083333333333,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,10,0.75,5,2212.6666666666665,0.0041666666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,10,0.75,5,2212.6666666666665,0.003125,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,10,0.75,5,2212.6666666666665,0.0098958333333333,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,10,1.0,0,2637.333333333333,0.0244791666666666,0.1817464324638715,0.928387655770634,5.084359325125399,93.33333333333331
V1_Static_Greedy,Gallo,10,1.0,1,2645.233333333333,0.0020833333333333,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,10,1.0,1,2645.233333333333,0.0041666666666666,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,10,1.0,5,2645.233333333333,0.00625,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,10,1.0,5,2645.233333333333,0.0057291666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,10,1.0,5,2645.233333333333,0.0036458333333333,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,10,1.0,5,2645.233333333333,0.0057291666666666,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,25,0.25,0,3870.3,1.3390625,0.065258424031944,0.2872354910473386,1.5284146172016118,93.33333333333331
V1_Static_Greedy,Gallo,25,0.25,1,3874.766666666667,0.0182291666666666,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,25,0.25,1,3872.7,0.0317708333333333,0.1127335888404344,0.4603625741530844,2.405247813411078,93.33333333333331
V3_Diverse_Beam_Static,Gallo,25,0.25,5,3874.766666666667,0.1911458333333333,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,25,0.25,5,3874.766666666667,0.1041666666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,25,0.25,5,3874.766666666667,0.0640625,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,25,0.25,5,3873.8,0.2223958333333333,0.0325586617267317,0.1783311346991109,0.9767598518019536,96.66666666666669
Fennich_Baseline,Gallo,25,0.5,0,9263.0,1.8567708333333333,0.1136846691953874,0.5319402753244026,2.883762200532387,93.33333333333331
V1_Static_Greedy,Gallo,25,0.5,1,9278.133333333331,0.0229166666666666,0.0438194232141037,0.2359748157615241,1.3145826964231122,96.66666666666669
V2_Dynamic_Greedy,Gallo,25,0.5,1,9276.066666666668,0.0328125,0.1070009171507184,0.5762175733711636,3.210027514521553,96.66666666666669
V3_Diverse_Beam_Static,Gallo,25,0.5,5,9279.566666666668,0.2234375,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,25,0.5,5,9279.566666666668,0.1286458333333333,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,25,0.5,5,9279.566666666668,0.0760416666666666,0.0,0.0,0.0,100.0
